player,hero,team,kills,deaths,assists,last_hits,denies,gpm,xpm,hero_damage,tower_damage,hero_healing,performance_score,position,dota_rank,match_date,win
Player1,Anti-Mage,radiant,10,2,5,450,20,650,700,15000,3000,0,8.5,1,Divine 5,2024-01-15,true
Player2,Crystal Maiden,radiant,2,8,15,50,5,250,300,8000,500,5000,7.2,5,Ancient 3,2024-01-15,true
Player3,Queen of Pain,radiant,12,4,8,320,12,580,650,18000,2500,0,8.8,2,Immortal,2024-01-15,true
Player4,Axe,radiant,5,7,12,180,8,420,480,14000,1500,0,7.5,3,Divine 2,2024-01-15,true
Player5,Rubick,radiant,3,6,18,80,4,280,350,9000,800,3000,7.8,4,Legend 5,2024-01-15,true
Player6,Pudge,dire,5,6,10,150,8,350,400,12000,1000,2000,6.8,4,Legend 5,2024-01-15,false
Player7,Phantom Assassin,dire,8,9,4,380,15,600,620,16000,4000,0,6.5,1,Ancient 5,2024-01-15,false
Player8,Invoker,dire,11,5,6,340,10,590,680,19000,2000,0,7.9,2,Divine 3,2024-01-15,false
Player9,Tidehunter,dire,4,8,11,160,6,390,450,11000,1800,0,6.9,3,Ancient 1,2024-01-15,false
Player10,Lion,dire,2,10,13,60,3,240,320,7500,600,4000,6.2,5,Legend 3,2024-01-15,false
Player1,Juggernaut,radiant,14,3,7,480,22,680,720,17000,3500,800,9.0,1,Divine 5,2024-01-16,true
Player2,Disruptor,radiant,1,6,20,45,4,260,310,8500,400,2500,8.0,5,Ancient 3,2024-01-16,true
Player3,Storm Spirit,radiant,15,4,10,300,11,620,690,20000,2200,0,9.2,2,Immortal,2024-01-16,true
Player4,Mars,radiant,6,5,14,190,9,440,500,15000,1700,0,8.1,3,Divine 2,2024-01-16,true
Player5,Earthshaker,radiant,4,4,16,90,5,300,370,10000,900,1000,8.3,4,Legend 5,2024-01-16,true
Player6,Witch Doctor,dire,3,8,9,70,5,270,340,9000,700,6000,6.5,5,Legend 5,2024-01-16,false
Player7,Faceless Void,dire,9,7,5,410,18,640,660,18000,4500,0,7.2,1,Ancient 5,2024-01-16,false
Player8,Lina,dire,10,6,7,350,12,600,700,21000,2500,0,7.8,2,Divine 3,2024-01-16,false
Player9,Centaur Warrunner,dire,5,9,10,170,7,400,470,13000,2000,0,6.8,3,Ancient 1,2024-01-16,false
Player10,Shadow Shaman,dire,2,11,12,55,2,230,300,7000,800,3500,6.0,4,Legend 3,2024-01-16,false
